"title","track","mode","region","level","deadline","description","format","eligibility","howToApply","tags","applyUrl","officialUrl"
"UAB HS Contest","Algo","In-Person","Birmingham, AL","All","2025-11-01","(Past, watch for 2026 date).","Contest","HS Students","Teacher Reg","Regional","uab.edu","uab.edu"
"Mercer HS Contest","Algo","In-Person","Macon, GA","All","TBA (Spring 2026)","Mathematics/CS contest.","Contest","HS Teams","Teacher Reg","Regional","liberalarts.mercer.edu","liberalarts.mercer.edu"
"GaSTC Programming","Algo","Online","Georgia","All","2026-03-06","Georgia Student Tech Comp.","Contest","GA Students","School Reg","State","gastc.org","gastc.org"
"LSU HS Research","Res","In-Person","Baton Rouge","Adv","2026-02-06","Summer Research Application Due.","Internship","LA Students","Apply","Research","lsu.edu","lsu.edu"
"ACPC (TAMU Club)","Algo","In-Person","Texas","Int","Weekly","Aggie Competitive Programming.","Practice","TAMU/HS","Join","University","getinvolved.tamu.edu","getinvolved.tamu.edu"
"Texas Ideas Challenge","Biz","In-Person","College Stn","All","TBA (Spring 2026)","Entrepreneurship.","Pitch","TX HS","Apply","Startup","mcferrin.tamu.edu","mcferrin.tamu.edu"
"Aggieland Classic","Robotics","In-Person","College Stn","All","2026-01-24","VEX V5 Tournament.","Robot Game","Teams","Register","Robotics","robotevents.com","robotevents.com"
"Clemson Ice Scream","Robotics","In-Person","Clemson, SC","All","2026-01-10","VEX Tournament.","Robot Game","Teams","Register","Robotics","robotevents.com","robotevents.com"
"SC 4-H Challenge","Eng","In-Person","Columbia, SC","All","2026-03-17","Engineering Challenge.","Coding/Robo","SC Youth","Register","STEM","events.clemson.edu","events.clemson.edu"
"Alabama App Challenge","App","Online","Alabama","All","2026-01-19","Governor's App Challenge.","App Dev","AL Students","Teacher Reg","State","governor.alabama.gov","governor.alabama.gov"
"South Alabama VEX","Robotics","In-Person","Mobile, AL","All","2026-01-10","VEX Tournament.","Robot Game","Teams","Register","Robotics","robotevents.com","robotevents.com"
"Marquette Dairyland","Algo","In-Person","Milwaukee, WI","All","Apr 2026","(Est). Wisconsin-Dairyland.","Contest","HS Teams","Teacher Reg","Regional","marquette.edu","marquette.edu"
"WPI FRC District","Robotics","In-Person","Worcester, MA","Adv","2026-04-03","FIRST Robotics Event.","Robot Game","FRC Teams","Register","Robotics","frc-events.firstinspires.org","frc-events.firstinspires.org"
"WPI Scholarships","Award","Online","USA","Adv","2026-02-23","Design Innovation Scholarship.","Portfolio","Robotics","Apply","Scholarship","wpi.edu","wpi.edu"
"Reply Challenge Teen","Algo","Online","Global","Int","2026-03-12","""Hack the Code"" Teen Edition.","4-Hour Exam","Age 14-19","Register","Algo, Logic","challenges.reply.com","challenges.reply.com"
"France-IOI Algorea","Algo","Online","France","All","2026-01-05","1st Round.","Contest","FR Schools","Teacher Reg","Algo","algorea.org","algorea.org"
"France-IOI R2","Algo","Online","France","All","2026-03-02","2nd Round.","Contest","FR Schools","Teacher Reg","Algo","algorea.org","algorea.org"
"France-IOI R3","Algo","Online","France","All","2026-04-27","3rd Round.","Contest","FR Schools","Teacher Reg","Algo","algorea.org","algorea.org"
"BWInf (Germany) R1","Algo","Online","Germany","All","2026-02-23","Jugendwettbewerb Round 1.","Contest","DE Schools","Register","Algo","bwinf.de","bwinf.de"
"BWInf (Germany) R2","Algo","Online","Germany","All","2026-04-17","Jugendwettbewerb Round 2.","Contest","DE Schools","Register","Algo","bwinf.de","bwinf.de"
"Olimpiada Informatyczna","Algo","Hybrid","Poland","Adv","2026-02-17","2nd Stage (II stopnia).","Exam","PL Students","Qualification","National","oi.edu.pl","oi.edu.pl"
"Olimpiada III Stopnia","Algo","In-Person","Poland","Adv","2026-03-17","Finals (III stopnia).","Exam","Qualifiers","Qualification","National","oi.edu.pl","oi.edu.pl"
"Olimpiadi Italiane","Algo","In-Person","Bologna, IT","Adv","2026-03-13","OIS Team Finals.","Contest","Qualifiers","Qualification","National","foe.it","foe.it"
"Olimpiadi Italiane R3","Algo","Online","Italy","Int","2026-01-14","Round 3 of team contest.","Contest","Teams","School Reg","Algo","foe.it","foe.it"
"Olimpiadi Italiane R4","Algo","Online","Italy","Int","2026-02-12","Round 4 of team contest.","Contest","Teams","School Reg","Algo","foe.it","foe.it"
"Spanish Olympiad Qual","Algo","Hybrid","Spain","Adv","2026-03-06","Regional Qualifiers (OIA).","Exam","ES Students","Register","National","esingenieria.uca.es","esingenieria.uca.es"
"Spanish Olympiad Open","Algo","Online","Spain","Adv","2026-03-18","Open Qualifier.","Exam","ES Students","Register","National","olimpiada-informatica.org","olimpiada-informatica.org"
"Spanish Olympiad Final","Algo","In-Person","Valladolid","Adv","2026-04-10","National Final (OIE).","Exam","Qualifiers","Qualification","National","olimpiada-informatica.org","olimpiada-informatica.org"
"TÜBİTAK Camps (Turkey)","Camp","In-Person","Turkey","Adv","Jan-Mar 2026","Science Camps (Winter).","Camp","TR Students","Application","National","bilimgenc.tubitak.gov.tr","bilimgenc.tubitak.gov.tr"
"Saudi Olympiad (NSMO)","Algo","In-Person","Saudi Arabia","Adv","2026-04-30","National Teams Competition.","Exam","SA Students","Mawhiba","National","mawhiba.sa","mawhiba.sa"
"Saudi Olympiad Finals","Algo","In-Person","Riyadh","Adv","2026-05-16","NSMO Finals.","Exam","Qualifiers","Mawhiba","National","mawhiba.sa","mawhiba.sa"
"HKOI Finals (Hong Kong)","Algo","In-Person","Hong Kong","Adv","2026-02-28","Primary/Junior Finals.","Exam","HK Students","School Nom","National","hkoi.org","hkoi.org"
"NOI Singapore Prelim","Algo","Online","Singapore","Adv","2026-02-22","National Olympiad Prelim.","Exam","SG Students","School Reg","National","noisg.comp.nus.edu.sg","noisg.comp.nus.edu.sg"
"NOI Singapore Final","Algo","In-Person","NUS","Adv","2026-03-22","National Finals.","Exam","Qualifiers","Qualification","National","noisg.comp.nus.edu.sg","noisg.comp.nus.edu.sg"
"Malaysian Comp Camp","Algo","Online","Malaysia","Adv","2026-01-02","MCO Training Camp.","Camp","MCO Parts","Register","National","ioimalaysia.org","ioimalaysia.org"
